,id,title,tags,author
0,PG1342,Pride and Prejudice,austen jane love stori young women fiction domest fiction social class fiction sister fiction england fiction courtship fiction,"Austen, Jane"
1,PG11,Alice's Adventures in Wonderland,carrol lewi fantasi literatur,"Carroll, Lewis"
2,PG30254,The Romance of Lust: A Classic Victorian erotic novel,anonym erot stori,Anonymous
3,PG1661,The Adventures of Sherlock Holmes,doyl arthurconan detect and mysteri stori english privat investig england fiction holm sherlock (fictiti character) fiction,"Doyle, Arthur Conan"
4,PG345,Dracula,stoker bram vampir fiction transylvania (romania) fiction horror tale dracula count (fictiti character) fiction whitbi (england) fiction epistolari fiction gothic fiction (literari genre),"Stoker, Bram"
5,PG74,The Adventures of Tom Sawyer,twain mark male friendship fiction bildungsroman sawyer tom (fictiti character) fiction adventur stori child wit fiction boy fiction missouri fiction mississippi river valley fiction humor stori runaway children fiction,"Twain, Mark"
6,PG98,A Tale of Two Cities,dicken charl french england london fiction execut and execution fiction histor fiction franc histori revolut 1789-1799 fiction london (england) histori 18th centuri fiction lookalik fiction british franc pari fiction war stori pari (france) histori 1789-1799 fiction,"Dickens, Charles"
7,PG2591,Grimms' Fairy Tales,grimm jacob fairi tale germani,"Grimm, Jacob"
8,PG219,Heart of Darkness,conrad joseph degener fiction imperi fiction trade post fiction psycholog fiction european africa fiction africa fiction,"Conrad, Joseph"
9,PG2600,War and Peace,tolstoy leo graf aristocraci (social class) russia fiction histor fiction napoleon war 1800-1815 campaign russia fiction russia histori alexand i 1801-1825 fiction war stori,"Tolstoy, Leo, graf"
10,PG84,"Frankenstein; Or, The Modern Prometheus",shelley marywollstonecraft horror tale frankenstein' monster (fictiti character) fiction scientist fiction gothic fiction (literari genre) frankenstein victor (fictiti character) fiction monster fiction scienc fiction,"Shelley, Mary Wollstonecraft"
11,PG1184,"The Count of Monte Cristo, Illustrated",duma alexandr franc histori 19th centuri fiction histor fiction adventur stori pirat fiction prison fiction dantè edmond (fictiti character) fiction reveng fiction,"Dumas, Alexandre"
12,PG5200,Metamorphosis,kafka franz psycholog fiction metamorphosi fiction,"Kafka, Franz"
13,PG844,The Importance of Being Earnest: A Trivial Comedy for Serious People,wild oscar ident (psychology) drama comedi england drama foundl drama,"Wilde, Oscar"
14,PG28054,The Brothers Karamazov,dostoyevski fyodor russia social life and custom 1533-1917 fiction didact fiction brother fiction father and son fiction,"Dostoyevsky, Fyodor"
15,PG120,Treasure Island,stevenson robertloui sea stori pirat fiction treasur trove fiction treasur island (imaginari place) fiction,"Stevenson, Robert Louis"
16,PG158,Emma,austen jane love stori father and daughter fiction young women fiction england fiction femal friendship fiction humor stori mate select fiction bildungsroman,"Austen, Jane"
17,PG76,Adventures of Huckleberry Finn,twain mark male friendship fiction bildungsroman fugit slave fiction mississippi river fiction race relat fiction adventur stori finn huckleberri (fictiti character) fiction boy fiction missouri fiction humor stori runaway children fiction,"Twain, Mark"
18,PG174,The Picture of Dorian Gray,wild oscar didact fiction portrait fiction appear (philosophy) fiction supernatur fiction conduct of life fiction great britain histori victoria 1837-1901 fiction london (england) histori 1800-1950 fiction paranorm fiction,"Wilde, Oscar"
19,PG1232,The Prince,machiavelli niccolò polit ethic earli work to 1800 state the earli work to 1800 polit scienc philosophi earli work to 1800,"Machiavelli, Niccolò"
20,PG4300,Ulysses,joyc jame epic literatur male friendship fiction jewish men fiction dublin (ireland) fiction domest fiction citi and town life fiction alien (social psychology) fiction psycholog fiction artist fiction marri peopl fiction,"Joyce, James"
21,PG1400,Great Expectations,dicken charl young men fiction ex-convict fiction orphan fiction bildungsroman benefactor fiction england fiction man-woman relationship fiction reveng fiction,"Dickens, Charles"
22,PG45,Anne of Green Gables,montgomeri l.m.(lucymaud) girl fiction princ edward island histori 20th centuri fiction orphan fiction island fiction friendship fiction shirley ann (fictiti character) fiction countri life princ edward island fiction canada histori 1867-1914 fiction bildungsroman,"Montgomery, L. M. (Lucy Maud)"
23,PG27827,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",vatsyayana love sex,Vatsyayana
24,PG30360,"My Secret Life, Volumes I. to III.: 1888 Edition",anonym sex addict biographi pornographi erot literatur,Anonymous
25,PG2500,Siddhartha,hess hermann religi fiction buddhist philosophi fiction gautama buddha fiction buddhism fiction india fiction,"Hesse, Hermann"
26,PG1322,Leaves of Grass,whitman walt american poetri 19th centuri,"Whitman, Walt"
27,PG2542,A Doll's House : a play,ibsen henrik man-woman relationship drama wive drama norwegian drama translat into english marriag drama,"Ibsen, Henrik"
28,PG1260,Jane Eyre: An Autobiography,brontë charlott love stori orphan fiction mental ill women fiction father and daughter fiction young women fiction countri home fiction gover fiction england fiction charity-school fiction marri peopl fiction bildungsroman,"Brontë, Charlotte"
29,PG16328,Beowulf: An Anglo-Saxon Epic Poem,nan dragon poetri monster poetri epic poetri english (old),
30,PG16,Peter Pan,barri j.m.(jamesmatthew) pirat fiction fantasi literatur never-nev land (imaginari place) fiction fairi fiction peter pan (fictiti character) fiction,"Barrie, J. M. (James Matthew)"
31,PG35,The Time Machine,well h.g.(herbertgeorge) time travel fiction dystopia fiction scienc fiction,"Wells, H. G. (Herbert George)"
32,PG135,Les Misérables,hugo victor ex-convict fiction epic literatur orphan fiction histor fiction pari (france) fiction,"Hugo, Victor"
33,PG244,A Study in Scarlet,doyl arthurconan detect and mysteri stori privat investig england fiction holm sherlock (fictiti character) fiction england fiction,"Doyle, Arthur Conan"
34,PG768,Wuthering Heights,brontë emili love stori heathcliff (fictiti charact : brontë) fiction domest fiction triangl (interperson relations) fiction rural famili fiction foundl fiction reject (psychology) fiction psycholog fiction yorkshir (england) fiction reveng fiction,"Brontë, Emily"
35,PG1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",swift jonathan polit satir english ireland polit and govern 18th centuri humor religi satir english,"Swift, Jonathan"
36,PG2554,Crime and Punishment,dostoyevski fyodor detect and mysteri stori saint petersburg (russia) fiction psycholog fiction russia fiction,"Dostoyevsky, Fyodor"
37,PG28520,Forbidden Fruit: Luscious and exciting story and More forbidden fruit or; Master Percy's progress in and beyond the domestic circle,anonym erot stori,Anonymous
38,PG4363,Beyond Good and Evil,nietzsch friedrichwilhelm philosophi german ethic,"Nietzsche, Friedrich Wilhelm"
39,PG33283,Calculus Made Easy: Being a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,thompson silvanusp.(silvanusphillips) calculu,"Thompson, Silvanus P. (Silvanus Phillips)"
40,PG2680,Meditations,marcusaureliu emperorofrom stoic life ethic,"Marcus Aurelius, Emperor of Rome"
41,PG161,Sense and Sensibility,austen jane love stori regenc fiction young women fiction domest fiction england social life and custom 19th centuri fiction social class fiction inherit and success fiction sister fiction england fiction mate select fiction gentri england fiction,"Austen, Jane"
42,PG863,The Mysterious Affair at Styles,christi agatha detect and mysteri stori privat investig england fiction poirot hercul (fictiti character) fiction belgian england fiction,"Christie, Agatha"
